epoch,loss,accuracy
1,0.36147973039432574,92.5
2,0.2561106422033749,92.5
3,0.23598145855296598,92.5
4,0.1937789070959154,92.5
5,0.13952056573409782,92.5
6,0.09145685893140341,94.60743801652893
7,0.056051879332364093,98.05785123966942
8,0.03639092582345352,98.7396694214876
9,0.02788439289341975,98.92561983471074
10,0.012870105857329787,99.6694214876033
11,0.01685813042135315,99.48347107438016
12,0.010402916196701546,99.62809917355372
13,0.003992113212102834,99.93801652892562
14,0.0030771028429482706,99.87603305785125
15,0.013432216792975132,99.62809917355372
16,0.011480942520153659,99.6694214876033
17,0.006871165695931842,99.75206611570248
18,0.014916301582687945,99.58677685950413
19,0.004944422911505267,99.87603305785125
20,0.005957426189764335,99.85537190082644
21,0.006388668528511755,99.73140495867769
22,0.008867621955735223,99.64876033057851
23,0.004422407782983914,99.79338842975207
24,0.0028248597473066184,99.91735537190083
25,0.0006034480405727855,99.97933884297521
26,0.0007228584912522102,99.95867768595042
27,0.0015772854112059888,99.95867768595042
28,0.016758779742855865,99.40082644628099
29,0.006602807616314078,99.75206611570248
30,0.005943747482265998,99.81404958677686
31,0.0014879459098378184,99.95867768595042
32,0.0003025173197663004,100.0
33,3.436750549063187e-05,100.0
34,2.0365768254599086e-05,100.0
35,2.3250783173117977e-05,100.0
36,1.000296492000081e-05,100.0
37,8.945530902786614e-06,100.0
38,1.0900079874861932e-05,100.0
39,5.3256257459204605e-06,100.0
40,5.544363378441973e-06,100.0
41,0.00011605667314034936,100.0
42,1.0486980114433667e-05,100.0
43,0.040295426684475194,98.7396694214876
44,0.009616530034212414,99.77272727272727
45,0.002304784539445025,99.93801652892562
46,0.006625007675474511,99.81404958677686
47,0.0014923477269818658,99.93801652892562
48,4.548744587208974e-05,100.0
49,1.8976616004432633e-05,100.0
50,4.048048359137518e-06,100.0
