epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.5518268290907145,71.74234945705824,0.4810400277376175,83.73702422145328
2,0.47143456153571606,82.03356367226061,0.48160807192325594,83.73702422145328
3,0.4197530357632786,82.03356367226061,0.29543461501598356,83.73702422145328
4,0.2825022025499493,87.41362290227049,0.2413332372903824,90.13840830449827
5,0.2462207489879802,89.43731490621916,0.22108582258224488,91.17647058823529
6,0.2352548692142591,89.26456071076012,0.1831793300807476,94.63667820069205
7,0.21978621243033558,90.91806515301086,0.19965125173330306,92.90657439446366
8,0.1752388456952758,92.96643632773939,0.15513243786990644,94.4636678200692
9,0.1518196000251919,94.02764067127345,0.2246150091290474,92.38754325259515
10,0.13816041784593835,94.59526159921026,0.16910350173711777,93.59861591695501
11,0.1234724948881194,95.45903257650544,0.16212263144552708,94.4636678200692
12,0.10334371373755857,96.29812438302073,0.17933205161243676,94.98269896193771
13,0.11726351676043123,95.9279368213228,0.18826944902539253,94.63667820069205
14,0.10097368992865086,96.89042448173741,0.23659327141940595,92.04152249134948
15,0.12196990518714301,95.33563672260613,0.20927844122052192,92.38754325259515
16,0.09239005509880371,97.08785784797631,0.23188653197139503,92.90657439446366
17,0.07536061448627152,97.90227048371175,0.24331141710281373,92.90657439446366
18,0.07418058207258582,98.07502467917078,0.24783088974654674,92.56055363321799
19,0.07516363344620913,97.68015794669299,0.2943629827350378,93.25259515570934
20,0.06661091593559831,98.02566633761106,0.2894693988375366,90.83044982698962
21,0.062455370934912935,98.39585389930899,0.3112464052625,92.56055363321799
22,0.05264839846677205,98.6426456071076,0.3257343522273004,93.0795847750865
23,0.05207657234132057,98.74136229022704,0.3673969167051837,92.56055363321799
24,0.06056472816999303,98.09970384995064,0.30257692048326135,92.21453287197232
25,0.08303251914912835,97.43336623889438,0.27139094949234277,93.25259515570934
26,0.054035409062635154,98.54392892398815,0.2760670613613911,91.86851211072664
27,0.0542279719702492,98.46989141164858,0.29745641256449745,93.42560553633218
28,0.044866358395665884,98.74136229022704,0.3000050873728469,92.90657439446366
29,0.06291091967416662,97.92694965449161,0.3739726441446692,91.6955017301038
30,0.04464764414296951,98.81539980256663,0.40652755193877965,92.56055363321799
