epoch,loss,accuracy
1,0.34465523233260115,83.53529524908636
2,0.27168360873599723,92.09463358338142
3,0.26652008368193736,92.09463358338142
4,0.26172915951240283,92.09463358338142
5,0.25593822956816553,92.09463358338142
6,0.2416186174549208,92.09463358338142
7,0.229033884095268,92.09463358338142
8,0.20546591428159935,92.07539911521447
9,0.16851443392824542,92.34468166955183
10,0.14429713150292087,93.27755337564916
11,0.11818402789624556,94.57587997691864
12,0.09846706509567295,95.72033083285247
13,0.08223317392696083,96.64358530486632
14,0.06801210050156876,97.42258126562801
15,0.0576672042560038,97.83612233121754
16,0.03831856789198087,98.6728216964801
17,0.03474401977063911,98.7978457395653
18,0.02727004020379148,98.99019042123486
19,0.03037805354536548,99.03827659165223
20,0.019570330379100838,99.38449701865743
21,0.02204710259237984,99.32679361415657
22,0.021190323374281277,99.25947297557222
23,0.01839220855796447,99.4422004231583
24,0.021504831792416402,99.30755914598961
25,0.012388956939229853,99.63454510482785
26,0.008686122616655315,99.7403346797461
27,0.01105384994211176,99.72110021157916
28,0.013879660023529007,99.5287555299096
29,0.012010827491316477,99.6153106366609
30,0.008997296517849536,99.73071744566263
