epoch,loss,accuracy
1,0.5995732941189591,59.48979591836735
2,0.5220445405463783,61.4030612244898
3,0.5012272199805902,63.46938775510204
4,0.4926033271210534,63.265306122448976
5,0.48094406024533876,65.79081632653062
6,0.47609071403133624,66.22448979591837
7,0.46886013673276317,68.08673469387755
8,0.45162143427498486,69.15816326530613
9,0.4268163330092722,74.26020408163265
10,0.402102308248987,76.63265306122449
11,0.3668930643371173,78.8265306122449
12,0.3243961014917919,82.83163265306122
13,0.28446937949985873,86.22448979591837
14,0.2696477572984841,87.11734693877551
15,0.23493248256189483,88.87755102040816
16,0.21992893587721854,89.61734693877551
17,0.18705746125505895,91.93877551020408
18,0.18330549554405165,92.21938775510205
19,0.16027152301287467,93.41836734693878
20,0.12574741213287854,95.05102040816327
