epoch,loss,accuracy
1,0.6531364681635837,92.38192446877609
2,0.6509956530895007,92.38192446877609
3,0.6544403184415325,92.38192446877609
4,0.655520155804801,92.38192446877609
5,0.6527611012363292,92.37264544864063
6,0.6403228574230693,92.38192446877609
7,0.6351195893496363,88.05790108564536
8,0.6192805465498734,88.2527605084903
9,0.5950214128598615,71.41133896260556
10,0.5469640750957526,69.85246357984597
11,0.4868235394402852,73.73109399647397
12,0.4307162584046051,77.62828245337292
13,0.3781535102258981,82.05437505799388
14,0.32135617606982986,85.00510346107451
15,0.2740336369380399,88.2527605084903
16,0.23148142500056468,90.16423865639788
17,0.18772120993288693,92.93866567690452
18,0.14304458425644426,94.38619281803841
19,0.13962332013173287,94.30268163681916
20,0.10264999651904651,96.07497448269463
21,0.0983525402467362,96.94720237542916
22,0.07649339931238781,97.24413101976431
23,0.08326372275665611,97.22557297949336
24,0.06734802644903064,97.64312888558968
25,0.06460288988877523,97.82870928829915
