epoch,loss,accuracy
1,0.5315217117026244,66.33790737564323
2,0.4250476303421063,76.60806174957118
3,0.4399557464233,73.54202401372213
4,0.406993549846572,77.46569468267582
5,0.4189111066293226,78.43053173241853
6,0.3887167863598833,80.23156089193824
7,0.6415421630013479,44.85420240137221
8,0.6292011909288903,45.819039451114925
9,0.6204652159589611,55.917667238421956
10,0.6015430313267119,63.59348198970841
11,0.5359396318560594,73.79931389365352
12,0.3914445380948178,81.96826758147513
13,0.30731891151134894,86.87821612349914
14,0.26984555979118974,86.10634648370497
15,0.2795010532622468,89.04373927958834
16,0.25050998652634554,88.91509433962264
17,0.25790212454580486,88.16466552315609
18,0.2717460898542139,90.43739279588337
19,0.3268377234591554,87.3713550600343
20,0.27898883852112577,90.09433962264151
