epoch,loss,accuracy
1,0.691039813041687,43.96378269617706
2,0.6005982227325439,65.24144869215291
3,0.5301350753307342,74.69818913480886
4,0.48128083801269533,76.40845070422536
5,0.45230573701858523,78.9738430583501
6,0.4524959067106247,78.57142857142857
7,0.4106481157541275,80.38229376257546
8,0.3368266586065292,85.261569416499
9,0.3598096083700657,84.10462776659959
10,0.2747594626545906,88.48088531187123
11,0.23226779973506928,91.34808853118712
12,0.15797493600845336,94.36619718309859
13,0.13377309761941433,95.27162977867204
14,0.11720640648528934,95.62374245472837
15,0.058568360219942404,98.34004024144869
16,0.06307711314363405,98.03822937625755
17,0.043648993687471375,98.64185110663983
18,0.07022028028592467,97.58551307847083
19,0.0716926891123876,97.33400402414487
20,0.025371145180717578,99.19517102615694
21,0.04776663772622124,98.44064386317908
22,0.04207281323592178,98.59154929577464
23,0.020612268331693485,99.49698189134809
24,0.02018683901312761,99.44668008048289
25,0.056440970429277516,98.18913480885311
