,accuracy,precision,recall,f1_score
SMS Dataset,0.9065180102915952,0.9691011235955056,0.9315931593159316,0.9499770536943551
Banking Dataset,0.6441717791411042,0.7608200455580866,0.7245119305856833,0.7422222222222222
Adware Dataset,0.6887550200803213,0.7038123167155426,0.8163265306122449,0.7559055118110236
Riskware Dataset,0.8051020408163265,0.9276236429433052,0.8544444444444445,0.8895315211104685
