epoch,loss,accuracy
1,0.25444424604472604,94.3507972665148
2,0.21061926347755114,94.3507972665148
3,0.2078268333039816,94.3507972665148
4,0.20612375317050993,94.3507972665148
5,0.19641478649042185,94.3507972665148
6,0.18236798521818468,94.3507972665148
7,0.17010259881470968,94.3507972665148
8,0.15367941099029142,94.3507972665148
9,0.13699308575302796,94.3507972665148
10,0.12492005234059778,94.36598329536827
11,0.11282348931197403,94.64692482915717
12,0.10219294889784843,95.28473804100227
13,0.08398130873344767,96.17312072892939
14,0.06871854503485329,96.98557327258922
15,0.057465303042740785,97.65375854214123
16,0.04747722461453449,98.12452543659833
17,0.039943302886049685,98.54973424449507
18,0.029627761079927508,98.9749430523918
19,0.02312731078472124,99.13439635535308
20,0.02059151799936815,99.3621867881549
21,0.014151686837402788,99.58238420653
22,0.01587252486298841,99.49126803340927
23,0.012468051186940622,99.56719817767653
24,0.011416752098333198,99.58238420653
25,0.01309384174742572,99.51404707668945
26,0.009129557477562346,99.71146545178436
27,0.011326208132948178,99.63553530751709
28,0.008749244632746163,99.63553530751709
29,0.011414695050475132,99.58238420653
30,0.006605601486670406,99.79498861047836
