epoch,loss,accuracy
1,0.5189448533809349,82.24238496435515
2,0.37022958471350476,83.12810542233744
3,0.26554885506629944,87.34067833225319
4,0.23724424736957028,88.6152516742277
5,0.20343019262160342,89.32814862821344
6,0.19036830155408546,90.10585439619788
7,0.1773395280111326,90.25707496219486
8,0.15797746870411586,93.88636854612227
9,0.1543182165757434,94.10239792611796
10,0.17996164441925205,93.00064808813998
11,0.14438782739516806,94.18880967811623
12,0.1178806018951821,95.59300064808814
13,0.12811749918411855,95.29055951609419
14,0.10904733025252003,96.08986822207821
15,0.08290227926144861,97.27802981205444
16,0.08317456185205342,97.2348239360553
17,0.07173099974170327,97.68848563404623
18,0.0807759994098738,97.42925037805142
19,0.055355391414096095,98.1205443940376
20,0.053231763959645406,98.27176496003456
21,0.05745641188058134,97.99092676604018
22,0.06323204354115136,98.14214733203715
23,0.04122752991619788,98.74702959602506
24,0.11417814677785317,96.1546770360769
25,0.04712757034456893,98.63901490602721
26,0.0388220322082355,98.83344134802333
27,0.03382586943757503,99.11427954201771
28,0.03745407998810637,98.89825016202204
29,0.02958075313076173,99.26550010801469
30,0.030558752867214586,99.07107366601858
