epoch,loss,accuracy
1,0.5823553584209861,64.29794520547945
2,0.4691746953415544,80.95034246575342
3,0.41806116169446134,82.49143835616438
4,0.39436031980057284,83.41181506849315
5,0.38402882422486395,83.4332191780822
6,0.370524576673769,84.07534246575342
7,0.3384940115964576,84.46061643835617
8,0.29812381712541186,86.23715753424658
9,0.25348872354585833,87.77825342465754
10,0.23113284545810256,89.40496575342466
11,0.20929146935678508,90.92465753424658
12,0.16163596429236948,93.23630136986301
13,0.13758787206590992,94.28510273972603
14,0.11038914556321625,95.48373287671232
15,0.1027825511481664,95.86900684931507
16,0.09296956481029318,96.83219178082192
17,0.09556659738443894,97.00342465753425
18,0.07110518487553073,97.98801369863014
19,0.04813237397210698,98.4375
20,0.06560024972175797,97.73116438356165
21,0.030541857155932956,99.12243150684931
22,0.05836866636224704,98.56592465753425
23,0.036811385284598964,98.86558219178082
24,0.028004125124226287,99.29366438356165
25,0.05000244790037507,98.63013698630137
26,0.053019211895457684,98.45890410958904
27,0.023626023515969617,99.46489726027397
28,0.030517075204430786,99.01541095890411
29,0.03526480236307603,98.92979452054794
30,0.02352228517682381,99.25085616438356
